ID_cellule	Longitude	Latitude	January	February	March	April	May	June	July	August	September	October	November	December	Min	Max	Range	Mean
ID26	-5.29	35.81	15.1767108	14.56326611	14.71384922	15.41300614	17.16541115	19.17266412	21.21130322	22.32248364	21.49597787	19.58275245	17.87603833	16.40038042	13.89610114	23.87197087	9.975869733	17.92448696
ID27	-5.29	35.91	15.18368333	14.5987074	14.741394	15.39447366	17.06270743	19.00076402	20.9032897	21.97843112	21.38933735	19.7570779	18.00166384	16.36689929	13.91865349	23.74362105	9.824967562	17.86486909
ID28	-5.29	36.11	15.09801726	14.55830042	14.72414073	15.38639943	17.07047694	19.02562521	20.82066147	22.09136189	21.70242396	20.1819114	18.1232966	16.29091238	13.81604212	23.80821061	9.992168494	17.92279397
ID29	-5.29	36.21	14.97671085	14.43475575	14.67603248	15.38265433	17.10222296	19.10833452	20.96201783	22.36914997	21.96500292	20.34001224	18.18063008	16.24168486	13.68969511	23.91991256	10.23021745	17.9782674
ID30	-5.29	36.31	14.97496116	14.42401454	14.67267783	15.38742229	17.11209599	19.12570484	21.00301224	22.39756892	21.96818339	20.31953574	18.18504263	16.25157021	13.66353874	23.93032616	10.26678742	17.98514915
ID31	-5.19	35.51	15.06875078	14.46642355	14.65186559	15.36321013	17.1076061	19.13524331	21.22637377	22.12637074	21.29793944	19.54657948	17.89146144	16.33095781	13.73174782	23.68551533	9.953767512	17.85106518
ID32	-5.19	35.61	15.13019529	14.49157023	14.64755191	15.34800501	17.08774147	19.12256243	21.23128219	22.1663045	21.31334721	19.52389353	17.89459635	16.38735754	13.82023141	23.67108719	9.850855778	17.86203397
ID33	-5.19	35.71	15.17611545	14.53713478	14.67908722	15.36029873	17.09136376	19.12743648	21.22831978	22.26854895	21.45050239	19.64442601	17.9637386	16.40626795	13.85807241	23.80885181	9.950779397	17.91110334
ID34	-5.19	36.31	14.93013027	14.38235138	14.64705084	15.36239421	17.09589238	19.13181824	21.0350325	22.45473755	22.03044597	20.36317107	18.18126094	16.21862271	13.60894664	23.94667966	10.33773302	17.98607567
ID35	-5.19	36.41	14.97436784	14.41365007	14.65855844	15.37416629	17.10763168	19.14139437	21.05561313	22.40405726	21.93577829	20.2632526	18.16838062	16.26016492	13.6109546	23.93093873	10.31998413	17.97975129
ID36	-5.09	35.41	15.08775586	14.46659293	14.63946534	15.34145584	17.0747414	19.11799226	21.22562491	22.12287489	21.27287787	19.56384997	17.94989916	16.357459	13.70848543	23.74556689	10.03708146	17.85171579
ID37	-5.09	35.51	15.13401049	14.48637552	14.63548355	15.32030413	17.05282972	19.1003275	21.24176918	22.15658507	21.26839839	19.50365586	17.91841249	16.38351453	13.85405754	23.69299178	9.838934243	17.85013887
ID38	-5.09	35.61	15.17787381	14.50922405	14.63411555	15.29927852	17.03310438	19.11443318	21.30023619	22.30464576	21.37571671	19.53376572	17.93104782	16.41604776	14.03800631	23.64423396	9.606227649	17.88579079
ID39	-5.09	36.31	14.87854976	14.33621167	14.62384691	15.3441338	17.08812289	19.14605995	21.06542104	22.52148019	22.11364745	20.42714747	18.18332484	16.17958812	13.556186	23.96539229	10.40920629	17.99229451
ID40	-5.09	36.41	14.85778836	14.31534199	14.61786004	15.36502445	17.11832429	19.18955437	21.0918762	22.55335054	22.12076122	20.39542953	18.1953268	16.18676733	13.49067981	23.96786882	10.477189	18.00061709
ID41	-4.99	35.31	15.09128183	14.45985068	14.61816957	15.3121785	17.04647138	19.11526666	21.2415602	22.1500056	21.2861785	19.57140988	17.95737623	16.3599429	13.73986903	23.76257232	10.02270329	17.85080766
ID42	-4.99	35.41	15.09081326	14.45684338	14.61788678	15.31342897	17.05350945	19.12140396	21.2628155	22.1407328	21.24952943	19.52215362	17.93407291	16.35861741	13.75203505	23.7463132	9.99427815	17.84348396
ID43	-4.99	35.51	15.14073661	14.49426606	14.63249209	15.30399373	17.04235553	19.13701499	21.32245266	22.32596733	21.45779933	19.65666922	18.00846742	16.3936727	13.83257981	23.79244418	9.95986437	17.90965731
ID44	-4.99	36.41	14.80608822	14.27103667	14.5991559	15.35904871	17.12168082	19.21178831	21.11030508	22.61353775	22.19462044	20.44307229	18.20092919	16.15199445	13.43832757	23.98261978	10.54429221	18.00693815
ID45	-4.99	36.51	14.8750168	14.32408978	14.61121519	15.3512502	17.10915739	19.18652638	21.12288666	22.54331094	22.07160221	20.33003673	18.18130891	16.20311962	13.48657135	23.97595051	10.48937916	17.99246007
ID46	-4.89	35.31	15.0848434	14.44240657	14.58537719	15.27090746	17.00045869	19.07932386	21.21933757	22.07436031	21.1748199	19.48067551	17.92120557	16.35375524	13.75541881	23.71834684	9.96292803	17.80728927
ID47	-4.89	35.41	15.11002425	14.46433276	14.60163276	15.2810538	17.01840051	19.11540745	21.28104987	22.18533899	21.28633647	19.55439522	17.96283429	16.37318279	13.7979315	23.77011451	9.972183013	17.85283243
ID48	-4.89	36.41	14.84023481	14.29611595	14.60268223	15.34300967	17.10791337	19.19510724	21.12686019	22.56410825	22.10360323	20.34346654	18.16048284	16.16537998	13.49731642	23.98512304	10.48780662	17.98741369
ID49	-4.89	36.51	14.78888981	14.25671808	14.59265924	15.35439572	17.13713299	19.23531802	21.15589733	22.66146564	22.21193474	20.41807859	18.19980299	16.14343313	13.43206664	23.99748008	10.56541344	18.01297719
ID50	-4.79	35.21	15.0845616	14.41877966	14.52239555	15.1811968	16.86402444	18.96071794	21.09114165	21.95324752	21.10036327	19.43815499	17.90216294	16.35330527	13.73484733	23.59646945	9.861622122	17.73917097
ID51	-4.79	35.31	15.09224496	14.42316507	14.52321673	15.18198409	16.87331925	18.9710356	21.10438235	21.91500792	21.03276072	19.38265945	17.88138872	16.35682318	13.77515196	23.59156992	9.816417957	17.72816567
ID52	-4.79	36.41	14.87673457	14.32052557	14.59833595	15.32392653	17.07975696	19.16069995	21.12833282	22.5138943	22.0220052	20.27032123	18.14131838	16.19635305	13.51353446	23.99329398	10.47975951	17.96935038
ID53	-4.79	36.51	14.87852835	14.32066909	14.59166152	15.31944226	17.08086351	19.16948155	21.15818207	22.54544571	22.03716693	20.27499948	18.16000076	16.20914893	13.4781922	24.00013539	10.52194319	17.97879918
ID54	-4.69	35.21	15.06606346	14.39214542	14.48350566	15.13151776	16.78736372	18.89114974	21.02265677	21.84525259	20.99297916	19.36779398	17.86954486	16.33495534	13.72638609	23.52155829	9.795172206	17.68207737
ID55	-4.69	35.31	15.07983423	14.40118622	14.4847467	15.12796038	16.78244224	18.88865318	21.01556896	21.79257246	20.93485649	19.33302648	17.8618244	16.34383305	13.76249205	23.51376922	9.751277163	17.67054207
ID56	-4.69	36.41	14.77092417	14.23897043	14.57564647	15.32781388	17.09311572	19.17332436	21.10601487	22.60245363	22.16979487	20.39307854	18.1490411	16.11853822	13.53759867	23.99429012	10.45669145	17.97655969
ID57	-4.69	36.51	14.87359802	14.31425074	14.57665558	15.30005567	17.06187069	19.15642011	21.17668485	22.55391271	22.03137377	20.25998888	18.1528405	16.21218263	13.45968445	24.01655623	10.55687178	17.97248618
ID58	-4.59	35.21	15.02759416	14.35495178	14.45207417	15.09859487	16.73063257	18.84449704	20.98598315	21.8197283	20.9724695	19.35856317	17.85816388	16.30093306	13.68579304	23.47621968	9.790426637	17.6503488
ID59	-4.59	36.41	14.83939398	14.29059684	14.56904737	15.29705293	17.05345673	19.13657181	21.14881062	22.56451295	22.06468644	20.28132561	18.13815705	16.19125182	13.44145443	24.03537249	10.59391806	17.96457201
ID60	-4.59	36.51	14.83722083	14.2869947	14.55550069	15.28265711	17.0499155	19.15441826	21.2010664	22.60152403	22.07696282	20.28468743	18.15255038	16.19541027	13.39762262	24.03253921	10.63491659	17.97324237
ID61	-4.59	36.61	14.8409152	14.28751527	14.5429204	15.26788358	17.04459113	19.16837167	21.24636045	22.62165045	22.07505514	20.27647965	18.1617396	16.20343624	13.35528931	24.03636976	10.68108045	17.97807657
ID62	-4.49	35.21	14.86227508	14.20616383	14.34373763	15.01282284	16.60367457	18.71617212	20.87476446	21.67187061	20.8004652	19.20099413	17.72770368	16.15120039	13.54013614	23.24026479	9.700128647	17.51432038
ID63	-4.49	36.51	14.76243595	14.23458215	14.51771194	15.25422087	17.04258533	19.18100352	21.27818813	22.69178131	22.15675365	20.33442499	18.15808655	16.15221844	13.26995404	24.03586309	10.76590905	17.98033274
ID64	-4.49	36.61	14.74509514	14.21731121	14.49613831	15.23508017	17.03392128	19.19116395	21.31288565	22.7197293	22.1740564	20.34569658	18.16398239	16.14350758	13.20274006	24.03410502	10.83136496	17.98154733
