ID_taxon	Super_class	Order	Family	Genus	Species	Max_length	Vertical_Distribution	Littoral	Continental_shelf	Continental_slope	Open_ocean	Habitat_soft	Habitat_rocky	Habitat_posidonia	Min_depth	Max_depth	Migration	Reproduction	Sex_reversal	Semelparity	Behavior	Diet	Trophic_level	Origin
219	osteichthyen	Anguilliformes	Ophichthidae	Apterichtus	Apterichtus_caecus	60	Benthic	1	0	0	0	1	0	0	5	20	NA	Oviparous	no	no	NA	Carnivorous	4.1	U
532	osteichthyen	Osmeriformes	Argentinidae	Argentina	Argentina_sphyraena	45	Demersal	0	1	1	0	1	0	0	50	200	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	3.1	U
523	osteichthyen	Stomiiformes	Sternoptychidae	Argyropelecus	Argyropelecus_hemigymnus	4	Pelagic	0	0	0	1	0	0	0	1	2400	no	Oviparous	no	no	Both	Carnivorous	3.1	U
590	osteichthyen	Perciformes	Sciaenidae	Argyrosomus	Argyrosomus_regius	200	Demersal	1	0	0	0	1	1	0	15	100	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	4.3	U
220	osteichthyen	Anguilliformes	Congridae	Ariosoma	Ariosoma_balearicum	50	Benthic	1	0	0	0	1	0	0	20	100	Oceanodromous	Oviparous	no	no	Solitary	Carnivorous	3.9	U
2	osteichthyen	Siluriformes	Ariidae	Arius	Arius_parkii	75	Demersal	1	0	0	0	1	0	0	50	80	no	Oviparous	no	no	Solitary	Carnivorous	4.1	A
221	osteichthyen	Pleuronectiformes	Bothidae	Arnoglossus	Arnoglossus_imperialis	25	Benthic	0	1	1	0	1	0	0	80	150	no	Oviparous	no	no	Solitary	Carnivorous	3.8	U
56	osteichthyen	Pleuronectiformes	Bothidae	Arnoglossus	Arnoglossus_kessleri	13	Benthic	0	1	0	0	1	0	0	10	200	no	Oviparous	no	no	Solitary	Carnivorous	4.1	E
222	osteichthyen	Pleuronectiformes	Bothidae	Arnoglossus	Arnoglossus_laterna	25	Benthic	0	1	1	0	1	0	0	10	400	no	Oviparous	no	no	Solitary	Carnivorous	3.6	U
616	osteichthyen	Pleuronectiformes	Bothidae	Arnoglossus	Arnoglossus_rueppelii	15	Benthic	0	0	1	0	1	0	0	200	550	no	Oviparous	no	no	Solitary	Carnivorous	4	U
223	osteichthyen	Pleuronectiformes	Bothidae	Arnoglossus	Arnoglossus_thori	25	Benthic	0	1	1	0	1	1	0	15	50	no	Oviparous	no	no	Solitary	Carnivorous	3.3	U
610	osteichthyen	Atheriniformes	Atherinidae	Atherina	Atherina_boyeri	13	Pelagic	1	0	0	0	1	1	1	1	3	Amphidromous	Oviparous	no	no	Gregarious	Carnivorous	3.2	U
226	osteichthyen	Atheriniformes	Atherinidae	Atherina	Atherina_hepsetus	20	Pelagic	1	0	0	0	0	1	0	1	3	NA	Oviparous	no	no	Gregarious	Carnivorous	3.2	U
227	osteichthyen	Atheriniformes	Atherinidae	Atherina	Atherina_presbyter	20	Pelagic	1	0	0	0	1	1	1	1	3	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	3.7	U
632	osteichthyen	Atheriniformes	Atherinidae	Atherinomorus	Atherinomorus_forskalii	15	Pelagic	1	0	0	0	0	0	0	1	10	no	Oviparous	no	no	NA	Carnivorous	3.3	L
136	osteichthyen	Atheriniformes	Atherinidae	Atherinomorus	Atherinomorus_lacunosus	14	Demersal	1	0	0	0	1	1	0	1	10	no	Oviparous	no	no	Gregarious	Carnivorous	3.3	L
228	osteichthyen	Aulopiformes	Aulopidae	Aulopus	Aulopus_filamentosus	44	Demersal	0	1	1	0	1	0	0	150	1000	no	Oviparous	no	no	NA	Carnivorous	4.2	U
229	osteichthyen	Perciformes	Scombridae	Auxis	Auxis_rochei_rochei	50	Pelagic	1	1	0	0	0	0	0	1	30	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	4.3	U
230	osteichthyen	Tetraodontiformes	Balistidae	Balistes	Balistes_capriscus	45	Benthic	0	1	0	0	1	1	1	10	50	Oceanodromous	Oviparous	no	no	Both	Carnivorous	4.1	U
531	osteichthyen	Stomiiformes	Melanostomiidae	Bathophilus	Bathophilus_nigerrimus	12	Pelagic	0	0	0	1	1	0	0	1000	2800	Oceanodromous	Oviparous	no	no	Solitary	Piscivorous	4.2	U
617	osteichthyen	Pleuronectiformes	Soleidae	Bathysolea	Bathysolea_profundicola	21	Benthic	0	0	1	0	1	0	0	200	1300	no	NA	no	no	Solitary	Carnivorous	3.2	U
599	osteichthyen	Ophidiiformes	Bythitidae	Bellottia	Bellottia_apoda	7	Demersal	0	0	1	0	1	0	0	30	500	no	Viviparous	no	no	Solitary	Omnivorous	3.4	U
231	osteichthyen	Beloniformes	Belonidae	Belone	Belone_belone	95	Pelagic	1	0	0	0	0	0	0	1	5	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	4.2	U
232	osteichthyen	Beloniformes	Belonidae	Belone	Belone_svetovidovi	57	Pelagic	1	0	0	0	0	0	0	1	5	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	4.3	U
602	osteichthyen	Ophidiiformes	Ophidiidae	Benthocometes	Benthocometes_robustus	15	Benthic	0	0	1	0	1	0	0	100	500	NA	Oviparous	no	no	Solitary	Carnivorous	3.1	U
539	osteichthyen	Myctophiformes	Myctophidae	Benthosema	Benthosema_glaciale	10	Pelagic	0	0	0	1	0	0	0	1	1400	no	Oviparous	no	no	Solitary	Carnivorous	3	U
233	osteichthyen	Perciformes	Blenniidae	Blennius	Blennius_ocellaris	20	Benthic	0	1	0	0	0	1	0	15	30	no	Oviparous	no	no	Solitary	Carnivorous	3.5	U
234	osteichthyen	Perciformes	Sparidae	Boops	Boops_boops	36	Demersal	0	1	1	0	1	1	1	5	30	Oceanodromous	Oviparous	Protogynous	no	Gregarious	Omnivorous	2.8	U
235	osteichthyen	Pleuronectiformes	Bothidae	Bothus	Bothus_podas	45	Benthic	1	0	0	0	1	0	0	10	50	no	Oviparous	no	no	Solitary	Carnivorous	3.4	U
589	osteichthyen	Perciformes	Bramidae	Brama	Brama_brama	75	Pelagic	0	0	0	1	0	0	0	5	800	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	4.1	U
58	osteichthyen	Perciformes	Gobiidae	Buenia	Buenia_affinis	3.2	Benthic	1	0	0	0	1	0	0	3	35	no	Oviparous	no	no	Solitary	Carnivorous	3.2	E
236	osteichthyen	Perciformes	Gobiidae	Buenia	Buenia_jeffreysii	6	Benthic	1	0	0	0	1	0	0	5	330	no	Oviparous	no	no	Solitary	Carnivorous	3.6	U
237	osteichthyen	Pleuronectiformes	Soleidae	Buglossidium	Buglossidium_luteum	16	Benthic	0	1	1	0	1	0	0	10	40	NA	Oviparous	no	no	NA	Carnivorous	3.3	U
238	osteichthyen	Perciformes	Callanthiidae	Callanthias	Callanthias_ruber	27	Demersal	0	1	1	1	0	1	0	50	500	no	Oviparous	Protogynous	no	NA	Carnivorous	3.8	U
239	osteichthyen	Perciformes	Callionymidae	Callionymus	Callionymus_fasciatus	12	Benthic	0	1	0	0	1	0	0	20	60	no	Oviparous	no	no	Solitary	Carnivorous	3.3	U
137	osteichthyen	Perciformes	Callionymidae	Callionymus	Callionymus_filamentosus	11	Demersal	1	0	0	0	1	0	0	1	100	no	Oviparous	no	no	NA	Carnivorous	3.3	L
597	osteichthyen	Perciformes	Callionymidae	Callionymus	Callionymus_lyra	30	Benthic	1	1	0	0	1	1	1	5	100	no	Oviparous	no	no	Solitary	Carnivorous	3.3	U
